liga,family,period,direction,predictions,hit_rate,brier
brasileirao-b,escanteios,FT,over,6280,0.4323248407643312,0.20983012178199606
brasileirao-b,escanteios,FT,under,6280,0.5676751592356688,0.20983012178199606
brasileirao-b,escanteios,HT,over,4710,0.47197452229299364,0.18644340451340435
brasileirao-b,escanteios,HT,under,4710,0.5280254777070064,0.18644340451340435
brasileirao-b,escanteios_1x2,FT,away,314,0.31210191082802546,0.2090444250713982
brasileirao-b,escanteios_1x2,FT,draw,314,0.07961783439490445,0.07515270015625096
brasileirao-b,escanteios_1x2,FT,home,314,0.60828025477707,0.2373167291070946
brasileirao-b,escanteios_1x2,HT,away,314,0.34076433121019106,0.2263383152843607
brasileirao-b,escanteios_1x2,HT,draw,314,0.16560509554140126,0.140570240494231
brasileirao-b,escanteios_1x2,HT,home,314,0.49363057324840764,0.25818348336861296
brasileirao-b,escanteios_handicap,FT,away_minus_1_5,314,0.22929936305732485,0.27176357083611125
brasileirao-b,escanteios_handicap,FT,away_minus_2_5,314,0.1624203821656051,0.3852389335158434
brasileirao-b,escanteios_handicap,FT,away_minus_3_5,314,0.10828025477707007,0.5248255531454424
brasileirao-b,escanteios_handicap,FT,away_minus_4_5,314,0.09235668789808917,0.6468522074954031
brasileirao-b,escanteios_handicap,FT,away_plus_1_5,314,0.4968152866242038,0.32312751122674555
brasileirao-b,escanteios_handicap,FT,away_plus_2_5,314,0.5987261146496815,0.4452051536031784
brasileirao-b,escanteios_handicap,FT,away_plus_3_5,314,0.6847133757961783,0.5698521270794137
brasileirao-b,escanteios_handicap,FT,away_plus_4_5,314,0.7707006369426752,0.6918442489998773
brasileirao-b,escanteios_handicap,FT,home_minus_1_5,314,0.5031847133757962,0.2573293561602914
brasileirao-b,escanteios_handicap,FT,home_minus_2_5,314,0.4012738853503185,0.25193101943608626
brasileirao-b,escanteios_handicap,FT,home_minus_3_5,314,0.31528662420382164,0.22901193942456594
brasileirao-b,escanteios_handicap,FT,home_minus_4_5,314,0.22929936305732485,0.18772987517932474
brasileirao-b,escanteios_handicap,FT,home_plus_1_5,314,0.7707006369426752,0.1663152160969984
brasileirao-b,escanteios_handicap,FT,home_plus_2_5,314,0.8375796178343949,0.13172629318736107
brasileirao-b,escanteios_handicap,FT,home_plus_3_5,314,0.89171974522293,0.09312908860947475
brasileirao-b,escanteios_handicap,FT,home_plus_4_5,314,0.9076433121019108,0.08212366125641288
brasileirao-b,escanteios_handicap,HT,away_minus_1_5,314,0.18152866242038215,0.41206930472704645
brasileirao-b,escanteios_handicap,HT,away_minus_2_5,314,0.11146496815286625,0.6234467328842547
brasileirao-b,escanteios_handicap,HT,away_plus_1_5,314,0.643312101910828,0.45354229533459023
brasileirao-b,escanteios_handicap,HT,away_plus_2_5,314,0.767515923566879,0.6523703884017309
brasileirao-b,escanteios_handicap,HT,home_minus_1_5,314,0.35668789808917195,0.24136197760509448
brasileirao-b,escanteios_handicap,HT,home_minus_2_5,314,0.23248407643312102,0.18960608197383488
brasileirao-b,escanteios_handicap,HT,home_plus_1_5,314,0.8184713375796179,0.1455148476910317
brasileirao-b,escanteios_handicap,HT,home_plus_2_5,314,0.8885350318471338,0.0975380587929713
brasileirao-b,escanteios_oddeven,FT,impar,314,0.5159235668789809,0.25000000008368695
brasileirao-b,escanteios_oddeven,FT,par,314,0.4840764331210191,0.25000000008209744
brasileirao-b,escanteios_oddeven,HT,impar,314,0.5063694267515924,0.2500083609956393
brasileirao-b,escanteios_oddeven,HT,par,314,0.49363057324840764,0.2500083609956393
brasileirao-b,faltas,FT,over,4396,0.7065514103730665,0.17477609949000697
brasileirao-b,faltas,FT,under,4396,0.2934485896269336,0.17477609949000697
brasileirao-b,gols,2T,over,1256,0.320859872611465,0.14096770225804467
brasileirao-b,gols,2T,under,1256,0.679140127388535,0.14096770225804467
brasileirao-b,gols,FT,over,5024,0.28144904458598724,0.12331836980357
brasileirao-b,gols,FT,under,5024,0.7185509554140127,0.12331836980357
brasileirao-b,gols,HT,over,2512,0.23885350318471338,0.1437208357366196
brasileirao-b,gols,HT,under,2512,0.7611464968152867,0.1437208357366196
brasileirao-b,gols_oddeven,FT,impar,314,0.4840764331210191,0.2490362311334106
brasileirao-b,gols_oddeven,FT,par,314,0.5159235668789809,0.2490362311337117
brasileirao-b,gols_oddeven,HT,impar,314,0.3821656050955414,0.24025864500753621
brasileirao-b,gols_oddeven,HT,par,314,0.6178343949044586,0.24025864501360789
brasileirao-b,impedimentos,FT,over,3140,0.39012738853503187,0.2080918298190816
brasileirao-b,impedimentos,FT,under,3140,0.6098726114649682,0.2080918298190816
bundesliga,1x2,FT,away,1362,0.3091042584434655,0.20356545594690362
bundesliga,1x2,FT,draw,1362,0.2511013215859031,0.19150977957467064
bundesliga,1x2,FT,home,1362,0.4397944199706314,0.2500355744636566
bundesliga,1x2,HT,away,1362,0.2812041116005874,0.20019037214321514
bundesliga,1x2,HT,draw,1362,0.35976505139500736,0.2323314882865233
bundesliga,1x2,HT,home,1362,0.3590308370044053,0.22189892062061048
bundesliga,btts,FT,nao,1362,0.39720998531571217,0.25034951758996676
bundesliga,btts,FT,sim,1362,0.6027900146842878,0.25034951758996676
bundesliga,btts,HT,nao,1362,0.7569750367107195,0.18687598653327067
bundesliga,btts,HT,sim,1362,0.24302496328928047,0.18687598653327067
bundesliga,cartoes,FT,over,20430,0.4596671561429271,0.17289918329623266
bundesliga,cartoes,FT,under,20430,0.5403328438570729,0.17289918329623266
bundesliga,cartoes,HT,over,10896,0.32966226138032306,0.17859583530912798
bundesliga,cartoes,HT,under,10896,0.6703377386196769,0.17859583530912798
bundesliga,cartoes_1x2,FT,away,1362,0.43612334801762115,0.2471076793261022
bundesliga,cartoes_1x2,FT,draw,1362,0.2290748898678414,0.17702981153484362
bundesliga,cartoes_1x2,FT,home,1362,0.33480176211453744,0.22119198609290405
bundesliga,chutes,FT,over,31326,0.5331034923067101,0.20230155811820036
bundesliga,chutes,FT,under,31326,0.46689650769328994,0.20230155811820036
bundesliga,chutes,HT,over,17706,0.59448774426748,0.21618791398716383
bundesliga,chutes,HT,under,17706,0.40551225573252003,0.21618791398716383
bundesliga,chutes_1x2,FT,away,1362,0.3333333333333333,0.20367014227828403
