liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
bundesliga,btts,HT,sim,1362,0.243025,0.218474,0.184049,0.554637,0.756975
bundesliga,cartoes,FT,over,20430,0.459667,0.464619,0.170583,0.516531,0.751982
bundesliga,cartoes,FT,under,20430,0.540333,0.535830,0.170565,0.516480,0.751297
bundesliga,cartoes,HT,over,10896,0.329662,0.336191,0.174271,0.524681,0.732562
bundesliga,cartoes,HT,under,10896,0.670338,0.665599,0.174358,0.525120,0.732195
bundesliga,cartoes_1x2,FT,away,1362,0.436123,0.447774,0.243895,0.681583,0.567548
bundesliga,cartoes_1x2,FT,draw,1362,0.229075,0.231260,0.176702,0.538400,0.770925
bundesliga,cartoes_1x2,FT,home,1362,0.334802,0.326306,0.219170,0.629321,0.665932
bundesliga,chutes,FT,over,31326,0.533103,0.531641,0.198550,0.580735,0.691343
bundesliga,chutes,FT,under,31326,0.466897,0.467749,0.198553,0.580755,0.691343
bundesliga,chutes,HT,over,17706,0.594488,0.592160,0.210480,0.608916,0.667796
bundesliga,chutes,HT,under,17706,0.405512,0.408528,0.210481,0.608918,0.667796
bundesliga,chutes_1x2,FT,away,1362,0.333333,0.342973,0.202189,0.590275,0.690896
bundesliga,chutes_1x2,FT,draw,1362,0.043319,0.044090,0.041284,0.175590,0.956681
bundesliga,chutes_1x2,FT,home,1362,0.623348,0.611555,0.211533,0.609604,0.657122
bundesliga,chutes_1x2,HT,away,1362,0.324523,0.341128,0.203588,0.592166,0.679883
bundesliga,chutes_1x2,HT,draw,1362,0.081498,0.080587,0.074433,0.279583,0.918502
bundesliga,chutes_1x2,HT,home,1362,0.593979,0.577803,0.220456,0.630572,0.635830
bundesliga,chutes_alvo,FT,over,23154,0.483890,0.481063,0.204358,0.597823,0.688348
bundesliga,chutes_alvo,FT,under,23154,0.516110,0.519616,0.204299,0.596469,0.688348
bundesliga,chutes_alvo,HT,over,16344,0.500612,0.496702,0.192708,0.573360,0.715125
bundesliga,chutes_alvo,HT,under,16344,0.499388,0.506411,0.192802,0.570625,0.715125
bundesliga,chutes_alvo_1x2,FT,away,1362,0.333333,0.393804,0.226596,0.645836,0.666667
bundesliga,chutes_alvo_1x2,FT,draw,1362,0.098385,0.083635,0.089147,0.325283,0.901615
bundesliga,chutes_alvo_1x2,FT,home,1362,0.568282,0.593333,0.247781,0.707753,0.568282
bundesliga,chutes_alvo_1x2,HT,away,1362,0.328928,0.443020,0.234256,0.661494,0.669604
bundesliga,chutes_alvo_1x2,HT,draw,1362,0.163730,0.163022,0.136975,0.446714,0.836270
bundesliga,chutes_alvo_1x2,HT,home,1362,0.507342,0.513074,0.251586,0.715210,0.473568
bundesliga,dupla,FT,12,1362,0.748899,0.761544,0.187383,0.561679,0.748899
bundesliga,dupla,FT,1x,1362,0.690896,0.712793,0.192146,0.567248,0.704846
bundesliga,dupla,FT,x2,1362,0.560206,0.521999,0.222832,0.636579,0.634361
bundesliga,dupla,HT,12,1362,0.640235,0.610107,0.230391,0.652997,0.640235
bundesliga,dupla,HT,1x,1362,0.718796,0.749457,0.190374,0.566056,0.732012
bundesliga,dupla,HT,x2,1362,0.640969,0.629220,0.216245,0.640789,0.657856
bundesliga,escanteios,FT,over,27240,0.423678,0.423355,0.194630,0.573113,0.703157
bundesliga,escanteios,FT,under,27240,0.576322,0.575906,0.194624,0.573097,0.703157
bundesliga,escanteios,HT,over,20430,0.449633,0.451672,0.182176,0.543762,0.729956
bundesliga,escanteios,HT,under,20430,0.550367,0.548502,0.182172,0.543769,0.730005
bundesliga,escanteios_1x2,FT,away,1362,0.356094,0.366326,0.213841,0.616846,0.670338
bundesliga,escanteios_1x2,FT,draw,1362,0.099853,0.092294,0.089816,0.323893,0.900147
bundesliga,escanteios_1x2,FT,home,1362,0.544053,0.541856,0.232440,0.656601,0.604993
bundesliga,escanteios_1x2,HT,away,1362,0.340675,0.356460,0.215306,0.619949,0.664464
bundesliga,escanteios_1x2,HT,draw,1362,0.156388,0.147700,0.131914,0.433445,0.843612
bundesliga,escanteios_1x2,HT,home,1362,0.502937,0.497156,0.241923,0.676495,0.559471
bundesliga,escanteios_handicap,FT,away_minus_1_5,1362,0.275330,0.285229,0.186046,0.554876,0.734214
bundesliga,escanteios_handicap,FT,away_minus_2_5,1362,0.195301,0.213849,0.146786,0.462118,0.808370
bundesliga,escanteios_handicap,FT,away_minus_3_5,1362,0.140969,0.151032,0.113968,0.379246,0.859031
bundesliga,escanteios_handicap,FT,away_minus_4_5,1362,0.093245,0.103854,0.080290,0.288439,0.906755
bundesliga,escanteios_handicap,FT,away_plus_1_5,1362,0.554332,0.556242,0.233705,0.659068,0.610866
bundesliga,escanteios_handicap,FT,away_plus_2_5,1362,0.636564,0.639982,0.221319,0.633338,0.648311
bundesliga,escanteios_handicap,FT,away_plus_3_5,1362,0.713656,0.718591,0.195035,0.575288,0.715125
bundesliga,escanteios_handicap,FT,away_plus_4_5,1362,0.792952,0.790534,0.158724,0.494683,0.792952
bundesliga,escanteios_handicap,FT,home_minus_1_5,1362,0.445668,0.441725,0.233038,0.657924,0.606461
bundesliga,escanteios_handicap,FT,home_minus_2_5,1362,0.363436,0.355734,0.220371,0.638292,0.654919
bundesliga,escanteios_handicap,FT,home_minus_3_5,1362,0.286344,0.276430,0.193507,0.574690,0.715125
bundesliga,escanteios_handicap,FT,home_minus_4_5,1362,0.207048,0.203522,0.157224,0.495315,0.792952
bundesliga,escanteios_handicap,FT,home_plus_1_5,1362,0.724670,0.715056,0.186067,0.555144,0.731278
bundesliga,escanteios_handicap,FT,home_plus_2_5,1362,0.804699,0.789302,0.146215,0.460948,0.809104
bundesliga,escanteios_handicap,FT,home_plus_3_5,1362,0.859031,0.853199,0.113705,0.378855,0.859031
bundesliga,escanteios_handicap,FT,home_plus_4_5,1362,0.906755,0.899516,0.079259,0.284545,0.906755
bundesliga,escanteios_handicap,HT,away_minus_1_5,1362,0.213656,0.224000,0.160892,0.498283,0.789280
bundesliga,escanteios_handicap,HT,away_minus_2_5,1362,0.113069,0.122587,0.097286,0.340371,0.887665
bundesliga,escanteios_handicap,HT,away_plus_1_5,1362,0.642438,0.652931,0.223690,0.638635,0.649046
bundesliga,escanteios_handicap,HT,away_plus_2_5,1362,0.780470,0.777648,0.169518,0.520220,0.780470
bundesliga,escanteios_handicap,HT,home_minus_1_5,1362,0.357562,0.345718,0.222551,0.636694,0.648311
bundesliga,escanteios_handicap,HT,home_minus_2_5,1362,0.219530,0.217485,0.168967,0.520394,0.780470
bundesliga,escanteios_handicap,HT,home_plus_1_5,1362,0.786344,0.782152,0.161744,0.500823,0.790015
bundesliga,escanteios_handicap,HT,home_plus_2_5,1362,0.886931,0.879213,0.096758,0.336858,0.886931
bundesliga,escanteios_oddeven,FT,impar,1362,0.488987,0.513565,0.250628,0.694441,0.493392
bundesliga,escanteios_oddeven,FT,par,1362,0.511013,0.484060,0.250286,0.693715,0.493392
bundesliga,escanteios_oddeven,HT,impar,1362,0.491924,0.503385,0.249938,0.693041,0.520558
bundesliga,escanteios_oddeven,HT,par,1362,0.508076,0.496860,0.249944,0.693053,0.519090
bundesliga,faltas,FT,over,19068,0.461296,0.472398,0.192700,0.568353,0.708202
bundesliga,faltas,FT,under,19068,0.538704,0.527508,0.192704,0.568363,0.707992
bundesliga,gols,2T,over,5448,0.420338,0.414898,0.166373,0.510765,0.756608
bundesliga,gols,2T,under,5448,0.579662,0.585102,0.166373,0.510765,0.756608
bundesliga,gols,FT,over,21792,0.391061,0.386767,0.146220,0.450897,0.788454
bundesliga,gols,FT,under,21792,0.608939,0.613272,0.146224,0.454129,0.788454
bundesliga,gols,HT,over,10896,0.350679,0.350516,0.173124,0.520071,0.738069
bundesliga,gols,HT,under,10896,0.649321,0.649486,0.173127,0.522241,0.738069
bundesliga,gols_oddeven,FT,impar,1362,0.461087,0.501378,0.249886,0.692923,0.505140
bundesliga,gols_oddeven,FT,par,1362,0.538913,0.498622,0.249886,0.692923,0.535242
bundesliga,gols_oddeven,HT,impar,1362,0.471366,0.468685,0.249100,0.691067,0.529369
bundesliga,gols_oddeven,HT,par,1362,0.528634,0.531315,0.249100,0.691067,0.529369
bundesliga,impedimentos,FT,over,13620,0.484508,0.489968,0.207229,0.603281,0.678634
bundesliga,impedimentos,FT,under,13620,0.515492,0.510277,0.207222,0.603264,0.679075
