liga,family,period,direction,n,base_rate,mean_pred,brier,log_loss,accuracy
brasileirao,handicap,FT,away_plus_2,1845,0.027642,0.016456,0.026996,0.130275,0.972358
brasileirao,handicap,FT,draw_minus_1,1845,0.260163,0.236790,0.193159,0.575091,0.739837
brasileirao,handicap,FT,draw_minus_2,1845,0.131165,0.171192,0.114173,0.389549,0.868835
brasileirao,handicap,FT,draw_plus_1,1845,0.166396,0.118040,0.139522,0.460157,0.833604
brasileirao,handicap,FT,draw_plus_2,1845,0.060705,0.043900,0.057050,0.231392,0.939295
brasileirao,handicap,FT,home_minus_1,1845,0.217344,0.338107,0.183587,0.550323,0.746883
brasileirao,handicap,FT,home_minus_2,1845,0.086179,0.166915,0.089759,0.319027,0.904607
brasileirao,handicap,FT,home_plus_1,1845,0.745257,0.821605,0.191887,0.583687,0.740921
brasileirao,handicap,FT,home_plus_2,1845,0.911653,0.939644,0.080712,0.303764,0.910569
brasileirao,htft,FULL,1_1,1845,0.284011,0.344560,0.202576,0.591874,0.692683
brasileirao,htft,FULL,1_2,1845,0.016260,0.009628,0.016070,0.086900,0.983740
brasileirao,htft,FULL,1_x,1845,0.059621,0.034517,0.056743,0.235269,0.940379
brasileirao,htft,FULL,2_1,1845,0.022222,0.023075,0.021728,0.106400,0.977778
brasileirao,htft,FULL,2_2,1845,0.132249,0.091301,0.115418,0.398955,0.867209
brasileirao,htft,FULL,2_x,1845,0.042818,0.034675,0.041071,0.178120,0.957182
brasileirao,htft,FULL,x_1,1845,0.171274,0.211147,0.143405,0.462156,0.828726
brasileirao,htft,FULL,x_2,1845,0.106233,0.080199,0.094826,0.341762,0.893767
brasileirao,htft,FULL,x_x,1845,0.165312,0.170898,0.137956,0.447570,0.833062
brasileirao,impedimentos,FT,over,18450,0.397019,0.401226,0.196697,0.581925,0.709268
brasileirao,impedimentos,FT,under,18450,0.602981,0.598774,0.196697,0.581925,0.709268
brasileirao,marca,FT,away_nao,1845,0.367480,0.472203,0.248736,0.690896,0.539837
brasileirao,marca,FT,away_sim,1845,0.632520,0.527797,0.248736,0.690896,0.539837
brasileirao,marca,FT,home_nao,1845,0.226016,0.209473,0.173199,0.529739,0.765312
brasileirao,marca,FT,home_sim,1845,0.773984,0.790527,0.173199,0.529739,0.765312
brasileirao,margem,FT,away_1,1845,0.166396,0.118040,0.139522,0.460157,0.833604
brasileirao,margem,FT,away_2,1845,0.060705,0.043900,0.057050,0.231392,0.939295
