liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,dnb,2T,3,0.30,0.40,225,0.347784,0.515556,0.167771
brasileirao,dnb,2T,4,0.40,0.50,173,0.448010,0.462428,0.014418
brasileirao,dnb,2T,5,0.50,0.60,173,0.551990,0.537572,-0.014418
brasileirao,dnb,2T,6,0.60,0.70,225,0.652216,0.484444,-0.167771
brasileirao,dnb,2T,7,0.70,0.80,311,0.752747,0.591640,-0.161107
brasileirao,dnb,2T,8,0.80,0.90,362,0.844352,0.701657,-0.142694
brasileirao,dnb,2T,9,0.90,1.00,90,0.921016,0.755556,-0.165460
brasileirao,dnb,FT,0,0.00,0.10,208,0.067631,0.206731,0.139100
brasileirao,dnb,FT,1,0.10,0.20,470,0.148836,0.261702,0.112866
brasileirao,dnb,FT,2,0.20,0.30,294,0.245523,0.404762,0.159239
brasileirao,dnb,FT,3,0.30,0.40,229,0.346715,0.414847,0.068132
brasileirao,dnb,FT,4,0.40,0.50,150,0.448444,0.446667,-0.001777
brasileirao,dnb,FT,5,0.50,0.60,150,0.551556,0.553333,0.001777
brasileirao,dnb,FT,6,0.60,0.70,229,0.653285,0.585153,-0.068132
brasileirao,dnb,FT,7,0.70,0.80,294,0.754477,0.595238,-0.159239
brasileirao,dnb,FT,8,0.80,0.90,470,0.851164,0.738298,-0.112866
brasileirao,dnb,FT,9,0.90,1.00,208,0.932369,0.793269,-0.139100
brasileirao,dnb,HT,0,0.00,0.10,30,0.077706,0.200000,0.122294
brasileirao,dnb,HT,1,0.10,0.20,282,0.159590,0.248227,0.088637
brasileirao,dnb,HT,2,0.20,0.30,355,0.245959,0.335211,0.089252
brasileirao,dnb,HT,3,0.30,0.40,226,0.349631,0.411504,0.061874
brasileirao,dnb,HT,4,0.40,0.50,135,0.449882,0.422222,-0.027660
brasileirao,dnb,HT,5,0.50,0.60,135,0.550118,0.577778,0.027660
brasileirao,dnb,HT,6,0.60,0.70,226,0.650369,0.588496,-0.061874
brasileirao,dnb,HT,7,0.70,0.80,355,0.754041,0.664789,-0.089252
brasileirao,dnb,HT,8,0.80,0.90,282,0.840410,0.751773,-0.088637
brasileirao,dnb,HT,9,0.90,1.00,30,0.922294,0.800000,-0.122294
brasileirao,dupla,2T,1,0.10,0.20,10,0.169854,0.700000,0.530146
brasileirao,dupla,2T,2,0.20,0.30,63,0.263908,0.412698,0.148790
brasileirao,dupla,2T,3,0.30,0.40,242,0.357745,0.524793,0.167048
brasileirao,dupla,2T,4,0.40,0.50,547,0.452227,0.566728,0.114501
brasileirao,dupla,2T,5,0.50,0.60,941,0.556562,0.653560,0.096998
brasileirao,dupla,2T,6,0.60,0.70,1465,0.647384,0.630717,-0.016668
brasileirao,dupla,2T,7,0.70,0.80,851,0.747026,0.699177,-0.047848
brasileirao,dupla,2T,8,0.80,0.90,1107,0.853399,0.756098,-0.097301
brasileirao,dupla,2T,9,0.90,1.00,309,0.922843,0.805825,-0.117018
brasileirao,dupla,FT,0,0.00,0.10,12,0.075242,0.416667,0.341424
brasileirao,dupla,FT,1,0.10,0.20,107,0.164243,0.345794,0.181551
brasileirao,dupla,FT,2,0.20,0.30,303,0.259727,0.392739,0.133012
brasileirao,dupla,FT,3,0.30,0.40,456,0.351769,0.453947,0.102179
brasileirao,dupla,FT,4,0.40,0.50,419,0.447109,0.589499,0.142390
brasileirao,dupla,FT,5,0.50,0.60,398,0.547983,0.580402,0.032419
brasileirao,dupla,FT,6,0.60,0.70,631,0.660452,0.659271,-0.001181
brasileirao,dupla,FT,7,0.70,0.80,1507,0.750147,0.719310,-0.030837
brasileirao,dupla,FT,8,0.80,0.90,1258,0.848384,0.774245,-0.074139
brasileirao,dupla,FT,9,0.90,1.00,444,0.929053,0.833333,-0.095720
brasileirao,dupla,HT,2,0.20,0.30,20,0.265468,0.450000,0.184532
brasileirao,dupla,HT,3,0.30,0.40,102,0.364232,0.539216,0.174983
brasileirao,dupla,HT,4,0.40,0.50,665,0.464341,0.511278,0.046937
brasileirao,dupla,HT,5,0.50,0.60,1576,0.549109,0.585025,0.035917
brasileirao,dupla,HT,6,0.60,0.70,954,0.644235,0.637317,-0.006918
brasileirao,dupla,HT,7,0.70,0.80,611,0.750326,0.729951,-0.020375
brasileirao,dupla,HT,8,0.80,0.90,1250,0.857677,0.800800,-0.056877
brasileirao,dupla,HT,9,0.90,1.00,357,0.919361,0.865546,-0.053815
brasileirao,escanteios,FT,0,0.00,0.10,4795,0.066838,0.139312,0.072474
brasileirao,escanteios,FT,1,0.10,0.20,8973,0.152496,0.211969,0.059473
brasileirao,escanteios,FT,2,0.20,0.30,8245,0.249186,0.283566,0.034379
brasileirao,escanteios,FT,3,0.30,0.40,7671,0.349128,0.371659,0.022531
brasileirao,escanteios,FT,4,0.40,0.50,7216,0.449489,0.454130,0.004641
brasileirao,escanteios,FT,5,0.50,0.60,7216,0.550511,0.545870,-0.004641
brasileirao,escanteios,FT,6,0.60,0.70,7671,0.650872,0.628341,-0.022531
brasileirao,escanteios,FT,7,0.70,0.80,8245,0.750814,0.716434,-0.034379
brasileirao,escanteios,FT,8,0.80,0.90,8973,0.847504,0.788031,-0.059473
brasileirao,escanteios,FT,9,0.90,1.00,4795,0.933162,0.860688,-0.072474
brasileirao,escanteios,HT,0,0.00,0.10,4781,0.065707,0.115248,0.049541
brasileirao,escanteios,HT,1,0.10,0.20,7575,0.146327,0.186799,0.040471
brasileirao,escanteios,HT,2,0.20,0.30,5604,0.250294,0.275874,0.025581
brasileirao,escanteios,HT,3,0.30,0.40,4945,0.348812,0.367240,0.018428
brasileirao,escanteios,HT,4,0.40,0.50,4770,0.448190,0.448637,0.000447
brasileirao,escanteios,HT,5,0.50,0.60,4770,0.551810,0.551363,-0.000447
brasileirao,escanteios,HT,6,0.60,0.70,4945,0.651188,0.632760,-0.018428
brasileirao,escanteios,HT,7,0.70,0.80,5604,0.749706,0.724126,-0.025581
brasileirao,escanteios,HT,8,0.80,0.90,7575,0.853673,0.813201,-0.040471
brasileirao,escanteios,HT,9,0.90,1.00,4781,0.934293,0.884752,-0.049541
brasileirao,escanteios_1x2,FT,0,0.00,0.10,355,0.084951,0.073239,-0.011711
brasileirao,escanteios_1x2,FT,1,0.10,0.20,1784,0.124712,0.109305,-0.015407
brasileirao,escanteios_1x2,FT,2,0.20,0.30,678,0.254137,0.321534,0.067397
brasileirao,escanteios_1x2,FT,3,0.30,0.40,678,0.347102,0.386431,0.039329
