liga,family,period,direction,n,coverage,mean_pred_raw,mean_pred_cal,base_rate,gap_raw,gap_cal,brier_raw,brier_cal,delta_brier,delta_brier_rel
superliga-argentina,asian_handicap,FT,home_plus_1_5,235,1,0.939162,0.896215,0.923404,0.015757,-0.027190,0.070022,0.070517,-0.000495,-0.007072
superliga-argentina,asian_handicap,FT,home_plus_2,223,1,0.940614,0.961348,0.973094,-0.032481,-0.011746,0.028869,0.026801,0.002068,0.071618
superliga-argentina,asian_total,FT,over,1105,1,0.367423,0.344497,0.344796,0.022627,-0.000299,0.182893,0.187143,-0.004250,-0.023240
superliga-argentina,asian_total,FT,under,1105,1,0.632577,0.655503,0.655204,-0.022627,0.000299,0.182893,0.187143,-0.004250,-0.023240
superliga-argentina,asian_total,HT,over,488,1,0.314661,0.324560,0.237705,0.076956,0.086855,0.190413,0.183426,0.006986,0.036691
superliga-argentina,asian_total,HT,under,488,1,0.685339,0.675440,0.762295,-0.076956,-0.086855,0.190413,0.183426,0.006986,0.036691
superliga-argentina,btts_algum_tempo,FULL,nao,235,1,0.740793,0.640223,0.689362,0.051431,-0.049138,0.222182,0.216490,0.005691,0.025616
superliga-argentina,btts_algum_tempo,FULL,sim,235,1,0.259207,0.359701,0.310638,-0.051431,0.049063,0.222182,0.216455,0.005727,0.025775
superliga-argentina,btts_ambos_tempos,FULL,nao,235,1,0.980040,0.960241,0.982979,-0.002939,-0.022738,0.017199,0.017431,-0.000232,-0.013492
superliga-argentina,btts_ambos_tempos,FULL,sim,235,1,0.019960,0.040076,0.017021,0.002939,0.023054,0.017199,0.017446,-0.000246,-0.014316
superliga-argentina,btts,FT,nao,235,1,0.654271,0.511747,0.540426,0.113846,-0.028678,0.272534,0.250483,0.022051,0.080910
superliga-argentina,btts,FT,sim,235,1,0.345729,0.488253,0.459574,-0.113846,0.028678,0.272534,0.250483,0.022051,0.080910
superliga-argentina,btts,HT,nao,235,1,0.901520,0.826728,0.876596,0.024925,-0.049867,0.109677,0.110711,-0.001033,-0.009422
superliga-argentina,btts,HT,sim,235,1,0.098480,0.173214,0.123404,-0.024925,0.049810,0.109677,0.110698,-0.001021,-0.009307
superliga-argentina,cartoes_1x2,FT,away,235,1,0.488050,0.466517,0.489362,-0.001311,-0.022844,0.245805,0.245951,-0.000146,-0.000593
superliga-argentina,cartoes_1x2,FT,draw,235,1,0.173343,0.189036,0.208511,-0.035167,-0.019474,0.165144,0.164218,0.000926,0.005610
superliga-argentina,cartoes_1x2,FT,home,235,1,0.338606,0.322231,0.302128,0.036479,0.020103,0.210350,0.208083,0.002267,0.010777
superliga-argentina,cartoes,FT,over,3525,1,0.581213,0.674813,0.632624,-0.051412,0.042189,0.168868,0.168443,0.000426,0.002521
superliga-argentina,cartoes,FT,under,3525,1,0.418787,0.326431,0.367376,0.051412,-0.040945,0.168868,0.168215,0.000653,0.003870
superliga-argentina,cartoes,HT,over,1880,1,0.368643,0.522921,0.490426,-0.121782,0.032496,0.212700,0.200315,0.012385,0.058228
superliga-argentina,cartoes,HT,under,1880,1,0.631357,0.475471,0.509574,0.121782,-0.034104,0.212700,0.200332,0.012368,0.058148
superliga-argentina,chutes_alvo,FT,over,3995,1,0.514561,0.502073,0.551189,-0.036628,-0.049116,0.196522,0.197426,-0.000905,-0.004603
superliga-argentina,chutes_alvo,FT,under,3995,1,0.485439,0.495082,0.448811,0.036628,0.046271,0.196522,0.197189,-0.000667,-0.003394
superliga-argentina,chutes_alvo,HT,over,2115,1,0.439974,0.491691,0.517730,-0.077756,-0.026039,0.216373,0.210919,0.005454,0.025207
superliga-argentina,chutes_alvo,HT,under,2115,1,0.560026,0.509512,0.482270,0.077756,0.027243,0.216373,0.210804,0.005569,0.025740
superliga-argentina,chutes,FT,over,7285,1,0.552912,0.541157,0.574743,-0.021831,-0.033586,0.156158,0.155283,0.000875,0.005606
superliga-argentina,chutes,FT,under,7285,1,0.447088,0.458573,0.425257,0.021831,0.033315,0.156158,0.155318,0.000840,0.005380
superliga-argentina,chutes,HT,over,3055,1,0.779980,0.739000,0.757774,0.022206,-0.018774,0.148110,0.148682,-0.000571,-0.003858
superliga-argentina,chutes,HT,under,3055,1,0.220020,0.260874,0.242226,-0.022206,0.018648,0.148110,0.148677,-0.000567,-0.003828
superliga-argentina,correct_score,FT,0_0,235,1,0.141008,0.093524,0.144681,-0.003673,-0.051157,0.124268,0.125394,-0.001126,-0.009061
superliga-argentina,correct_score,FT,0_1,235,1,0.082655,0.086801,0.093617,-0.010962,-0.006816,0.087258,0.086252,0.001006,0.011529
superliga-argentina,correct_score,FT,0_2,235,1,0.033229,0.046865,0.042553,-0.009324,0.004312,0.039823,0.039856,-0.000033,-0.000817
superliga-argentina,correct_score,FT,0_3,235,1,0.009463,0.018460,0.012766,-0.003303,0.005694,0.012662,0.012657,0.000006,0.000435
superliga-argentina,correct_score,FT,0_4,235,1,0.002240,0.004782,0.004255,-0.002015,0.000527,0.004186,0.004181,0.000005,0.001114
superliga-argentina,correct_score,FT,1_0,235,1,0.163711,0.128268,0.127660,0.036051,0.000609,0.113411,0.110594,0.002817,0.024841
superliga-argentina,correct_score,FT,1_1,235,1,0.110211,0.130830,0.165957,-0.055746,-0.035128,0.142653,0.140499,0.002154,0.015100
superliga-argentina,correct_score,FT,1_2,235,1,0.038113,0.062531,0.089362,-0.051248,-0.026831,0.083181,0.081319,0.001862,0.022390
superliga-argentina,correct_score,FT,1_3,235,1,0.010447,0.017708,0.008511,0.001936,0.009197,0.008544,0.008643,-0.000099,-0.011584
superliga-argentina,correct_score,FT,1_4,235,1,0.002385,0.004336,0.004255,-0.001870,0.000081,0.004258,0.004265,-0.000006,-0.001488
superliga-argentina,correct_score,FT,2_0,235,1,0.118228,0.086437,0.093617,0.024611,-0.007180,0.085054,0.084648,0.000406,0.004768
superliga-argentina,correct_score,FT,2_1,235,1,0.070277,0.084287,0.089362,-0.019085,-0.005074,0.081181,0.081123,0.000058,0.000716
superliga-argentina,correct_score,FT,2_2,235,1,0.024543,0.046229,0.012766,0.011777,0.033463,0.012911,0.013793,-0.000882,-0.068321
superliga-argentina,correct_score,FT,2_3,235,1,0.006499,0.012634,0.017021,-0.010522,-0.004387,0.016888,0.016793,0.000095,0.005630
superliga-argentina,correct_score,FT,2_4,235,1,0.001438,0.002456,0,0.001438,0.002456,0.000005,0.000016,-0.000011,-2.105571
superliga-argentina,correct_score,FT,3_0,235,1,0.061455,0.040479,0.008511,0.052944,0.031969,0.012315,0.010200,0.002115,0.171772
superliga-argentina,correct_score,FT,3_1,235,1,0.034792,0.026982,0.042553,-0.007761,-0.015571,0.040291,0.040276,0.000015,0.000362
superliga-argentina,correct_score,FT,3_2,235,1,0.011668,0.018395,0.012766,-0.001098,0.005629,0.012767,0.012721,0.000046,0.003589
superliga-argentina,correct_score,FT,3_3,235,1,0.002988,0.004834,0,0.002988,0.004834,0.000017,0.000029,-0.000012,-0.729844
superliga-argentina,correct_score,FT,3_4,235,1,0.000643,0.001436,0,0.000643,0.001436,0.000001,0.000004,-0.000003,-2.820674
superliga-argentina,correct_score,FT,4_0,235,1,0.026533,0.013529,0.004255,0.022278,0.009274,0.005445,0.004481,0.000964,0.177011
superliga-argentina,correct_score,FT,4_1,235,1,0.014245,0.009163,0,0.014245,0.009163,0.000319,0.000115,0.000204,0.638513
superliga-argentina,correct_score,FT,4_2,235,1,0.004574,0.005933,0,0.004574,0.005933,0.000036,0.000042,-0.000007,-0.182386
superliga-argentina,correct_score,FT,4_3,235,1,0.001132,0.002177,0.004255,-0.003123,-0.002078,0.004256,0.004259,-0.000003,-0.000627
superliga-argentina,correct_score,FT,4_4,235,1,0.000237,0.000448,0.004255,-0.004018,-0.003807,0.004255,0.004254,0.000001,0.000165
superliga-argentina,correct_score,FT,other_away,235,1,0.001683,0.003517,0.004255,-0.002573,-0.000738,0.004264,0.004292,-0.000028,-0.006631
superliga-argentina,correct_score,FT,other_draw,235,1,0.000015,0,0,0.000015,0,0.000000,0,0.000000,1
superliga-argentina,correct_score,FT,other_home,235,1,0.025587,0.010673,0.012766,0.012822,-0.002093,0.013535,0.012523,0.001012,0.074780
superliga-argentina,correct_score,HT,0_0,235,1,0.441298,0.347587,0.400000,0.041298,-0.052413,0.246588,0.243539,0.003049,0.012366
superliga-argentina,correct_score,HT,0_1,235,1,0.114078,0.151361,0.157447,-0.043369,-0.006086,0.133731,0.131779,0.001953,0.014600
superliga-argentina,correct_score,HT,0_2,235,1,0.018225,0.031492,0.055319,-0.037094,-0.023827,0.053486,0.052564,0.000923,0.017250
superliga-argentina,correct_score,HT,1_0,235,1,0.233499,0.208542,0.225532,0.007967,-0.016990,0.173543,0.173322,0.000222,0.001277
superliga-argentina,correct_score,HT,1_1,235,1,0.063116,0.100207,0.068085,-0.004969,0.032122,0.063289,0.064291,-0.001002,-0.015833
