liga,family,period,prob_bin,bin_lo,bin_hi,n,mean_pred,observed_freq,gap
brasileirao,impedimentos,FT,3,0.30,0.40,4751,0.344401,0.344349,-0.000053
brasileirao,impedimentos,FT,4,0.40,0.50,3471,0.450669,0.450014,-0.000654
brasileirao,impedimentos,FT,5,0.50,0.60,3406,0.546337,0.555490,0.009153
brasileirao,impedimentos,FT,6,0.60,0.70,4793,0.653631,0.649489,-0.004142
brasileirao,impedimentos,FT,7,0.70,0.80,6316,0.751234,0.748100,-0.003134
brasileirao,impedimentos,FT,8,0.80,0.90,3810,0.843930,0.848031,0.004102
brasileirao,impedimentos,FT,9,0.90,1.00,239,0.931783,0.907950,-0.023833
brasileirao-b,1x2,FT,0,0.00,0.10,6,0.058429,0.666667,0.608238
brasileirao-b,1x2,FT,1,0.10,0.20,141,0.163091,0.198582,0.035490
brasileirao-b,1x2,FT,2,0.20,0.30,351,0.249735,0.290598,0.040863
brasileirao-b,1x2,FT,3,0.30,0.40,183,0.337770,0.338798,0.001028
brasileirao-b,1x2,FT,4,0.40,0.50,115,0.431423,0.382609,-0.048815
brasileirao-b,1x2,FT,5,0.50,0.60,106,0.559770,0.490566,-0.069204
brasileirao-b,1x2,FT,6,0.60,0.70,35,0.644723,0.628571,-0.016151
brasileirao-b,1x2,FT,7,0.70,0.80,5,0.758537,0.000000,-0.758537
brasileirao-b,1x2,HT,0,0.00,0.10,4,0.054721,0.250000,0.195279
brasileirao-b,1x2,HT,1,0.10,0.20,193,0.165828,0.134715,-0.031113
brasileirao-b,1x2,HT,2,0.20,0.30,196,0.242085,0.229592,-0.012493
brasileirao-b,1x2,HT,3,0.30,0.40,210,0.359545,0.390476,0.030931
brasileirao-b,1x2,HT,4,0.40,0.50,329,0.445858,0.480243,0.034385
brasileirao-b,1x2,HT,5,0.50,0.60,9,0.526827,0.222222,-0.304605
brasileirao-b,1x2,HT,6,0.60,0.70,1,0.608964,0.000000,-0.608964
brasileirao-b,btts,FT,2,0.20,0.30,2,0.288752,0.000000,-0.288752
brasileirao-b,btts,FT,3,0.30,0.40,6,0.341284,0.666667,0.325383
brasileirao-b,btts,FT,4,0.40,0.50,306,0.470223,0.486928,0.016706
