market_key,family,direction,mercado,selecao,linha,n,wins,hit_rate,avg_odd,avg_fair_prob,avg_ev,avg_edge,roi,profit,breakeven
gols_total_ft_over_4_5,gols,over,Total de Gols,Mais de 4.5,4.5,85,17,0.2,4.770588235294118,0.32338620762794773,0.4377712357240043,0.09707471400153898,-0.16294117647058828,-13.850000000000003,0.2096177558569667
escanteios_total_ht_under_3_5,escanteios,under,1º Tempo - Total de Escanteios,Menos de 3.5,3.5,537,175,0.3258845437616387,2.597486033519553,0.48346832179093197,0.24451820310634695,0.09373937278432963,-0.1666294227188082,-89.48,0.3849876330788257
chutes_total_ht_over_10_5,chutes,over,1º Tempo - Total de Finalizações,Mais de 10.5,10.5,86,39,0.45348837209302323,1.8140697674418604,0.660789629809264,0.19512261507377116,0.10792904208713569,-0.1694186046511628,-14.57,0.5512467149541697
escanteios_total_ft_under_7_5,escanteios,under,Total de Escanteios,Menos de 7.5,7.5,190,54,0.28421052631578947,3.0717894736842104,0.4339217202810217,0.3084909004543606,0.10141314354444185,-0.17621052631578948,-33.480000000000004,0.3255431430333767
chutes_alvo_total_ft_under_10_5,chutes_alvo,under,Total de Chutes no Gol,Menos de 10.5,10.5,84,44,0.5238095238095238,1.6086904761904761,0.7273391534166753,0.16561101979283177,0.0957574731468456,-0.1907142857142857,-16.02,0.6216236216976245
escanteios_total_ft_over_12_5,escanteios,over,Total de Escanteios,Mais de 12.5,12.5,154,35,0.22727272727272727,3.633506493506493,0.3730343802428964,0.327241887383962,0.08988046073795218,-0.20487012987012992,-31.550000000000008,0.2752162413324755
gols_total_ht_under_0_5,gols,under,1º Tempo - Total de Gols,Menos de 0.5,0.5,453,117,0.2582781456953642,3.0882560706401767,0.40419289390170726,0.21483928955236634,0.07030451278745475,-0.20701986754966883,-93.77999999999999,0.3238073453516133
gols_total_ft_over_3_5,gols,over,Total de Gols,Mais de 3.5,3.5,285,73,0.256140350877193,3.298140350877193,0.4208609575261841,0.3313796861736889,0.10164497562914096,-0.2273684210526316,-64.80000000000001,0.3032011659946594
gols_total_2t_over_2_5,gols,over,2º Tempo - Total de Gols,Mais de 2.5,2.5,253,50,0.1976284584980237,4.0743083003952565,0.3354528478168043,0.3371114336002883,0.08384101397543461,-0.2476679841897233,-62.66,0.24544043461389214
cartoes_total_ft_over_4_5,cartoes,over,Total de Cartões,Mais de 4.5,4.5,90,28,0.3111111111111111,2.4774444444444446,0.500704123221544,0.15441570849756106,0.06047098706620622,-0.34900000000000003,-31.410000000000004,0.40364174552630394
gols_total_2t_under_0_5,gols,under,2º Tempo - Total de Gols,Menos de 0.5,0.5,125,22,0.176,3.8164000000000002,0.3343740559672396,0.23926412219056506,0.06390054810150464,-0.35336,-44.17,0.26202704119065084
gols_total_ft_under_1_5,gols,under,Total de Gols,Menos de 1.5,1.5,266,49,0.18421052631578946,3.5304887218045113,0.3877688505139826,0.3134170635858564,0.09045732652853446,-0.3791729323308271,-100.86000000000001,0.2832469039835589
